Date,WD_CAN_interest,WD_CHI_interest,WD_CHN_interest,Euro area (19 countries),WD_UK_interest,WD_US_interest
2001-01,5.4914,6.63,3.24,4.7559,5.9208,5.98
2001-02,5.49,7.85,3.24,4.9925,5.8447,5.49
2001-03,4.9927,2.57,3.24,4.7814,5.4017,5.31
2001-04,4.7442,7.76,3.24,5.0642,5.3159,4.8
2001-05,4.67,10.01,3.24,4.6536,5.5203,4.21
2001-06,4.4935,8.96,3.24,4.5395,4.7796,3.97
2001-07,4.2414,5.43,3.24,4.5055,5.2943,3.77
2001-08,4.1679,6.01,3.24,4.4913,4.8046,3.65
2001-09,3.4858,6.5,3.24,3.9865,4.8526,3.07
2001-10,2.7412,6.64,3.24,3.9713,4.5973,2.49
2001-11,2.5955,6.5,3.24,3.5073,3.5761,2.09
2001-12,2.2444,6.62,3.24,3.3389,4.5841,1.82
2002-01,1.9923,6.21,3.24,3.2936,3.7685,1.73
2002-02,1.9926,6.02,2.7,3.283,4.0574,1.74
2002-03,1.9933,5.03,2.7,3.264,4.0431,1.73
2002-04,2.244,4.74,2.7,3.3162,3.752,1.75
2002-05,2.2471,4.29,2.7,3.31,3.9273,1.75
2002-06,2.4964,3.99,2.7,3.3485,3.5006,1.75
2002-07,2.7418,3.54,2.7,3.3017,3.861,1.73
2002-08,2.7448,3.08,2.7,3.2927,4.1371,1.74
2002-09,2.7447,3,2.7,3.3186,3.8711,1.75
2002-10,2.7449,2.99,2.7,3.3004,4.0884,1.75
2002-11,2.7431,3,2.7,3.3043,3.6521,1.34
2002-12,2.7439,3.03,2.7,3.0945,4.3953,1.24
2003-01,2.7439,2.81,2.7,2.7868,3.8044,1.24
2003-02,2.7469,2.76,2.7,2.7635,3.7243,1.26
2003-03,2.992,2.67,2.7,2.749,3.9196,1.25
2003-04,3.2373,2.74,2.7,2.5605,3.619,1.26
2003-05,3.2416,2.75,2.7,2.5571,3.6875,1.26
2003-06,3.2449,2.73,2.7,2.2133,3.6535,1.22
2003-07,2.9947,2.75,2.7,2.0783,3.2923,1.01
2003-08,2.9972,2.75,2.7,2.0981,3.5053,1.03
2003-09,2.749,2.74,2.7,2.0209,3.5179,1.01
2003-10,2.7492,2.75,2.7,2.0148,3.355,1.01
2003-11,2.7481,2.75,2.7,1.973,3.5483,1
2003-12,2.7481,2.45,2.7,2.0567,3.7778,0.98
2004-01,2.4951,1.87,2.7,2.0214,3.7159,1
2004-02,2.4953,1.74,2.7,2.0315,4.0873,1.01
2004-03,2.2482,1.72,2.7,2.0057,3.904,1
2004-04,1.9959,1.73,2.7,2.078,3.8914,1
2004-05,1.9985,1.75,2.7,2.0152,4.203,1
2004-06,2.0005,1.76,2.7,2.0277,4.3628,1.03
2004-07,1.9973,1.74,2.7,2.0677,4.4623,1.26
2004-08,1.9979,1.72,2.7,2.0405,4.63,1.43
2004-09,2.2496,1.94,2.7,2.0518,4.7314,1.61
2004-10,2.496,2.02,3.33,2.1114,4.7297,1.76
2004-11,2.4977,2.17,3.33,2.085,4.7408,1.93
2004-12,2.4999,2.37,3.33,2.0535,4.7618,2.16
2005-01,2.498,2.44,3.33,2.0771,4.7599,2.28
2005-02,2.4971,2.68,3.33,2.0585,4.816,2.5
2005-03,2.4794,2.82,3.33,2.0567,4.7618,2.63
2005-04,2.4954,3.08,3.33,2.0757,4.8125,2.79
2005-05,2.4866,3.27,3.33,2.07,4.7079,3
2005-06,2.4936,3.27,3.33,2.0623,4.7935,3.04
2005-07,2.4922,3.42,3.33,2.0729,4.7546,3.26
2005-08,2.4882,3.67,3.33,2.0609,4.5775,3.5
2005-09,2.7421,3.98,3.33,2.0941,4.5499,3.62
2005-10,2.9873,4.17,3.33,2.0671,4.4246,3.78
2005-11,2.9883,4.37,3.33,2.0859,4.5458,4
2005-12,3.2437,4.53,3.33,2.2757,4.6381,4.16
2006-01,3.2961,4.56,3.33,2.3264,4.4829,4.29
2006-02,3.4765,4.55,3.33,2.3495,4.4255,4.49
2006-03,3.7269,4.67,3.33,2.52,4.5402,4.59
2006-04,3.8182,4.8,3.33,2.6283,4.4928,4.79
2006-05,4.2126,5.06,3.33,2.5768,4.5093,4.94
2006-06,4.2455,5.03,3.33,2.6977,4.5712,4.99
2006-07,4.2442,5.12,3.33,2.8138,4.5459,5.24
2006-08,4.2427,5.26,3.33,2.9683,4.8026,5.25
2006-09,4.2465,5.32,3.33,3.041,4.7892,5.25
2006-10,4.2335,5.29,3.33,3.2782,4.8255,5.25
2006-11,4.2476,5.24,3.33,3.3277,4.9968,5.25
2006-12,4.2482,5.36,3.33,3.5011,5.0844,5.24
2007-01,4.2447,5.16,3.33,3.5632,5.2231,5.25
2007-02,4.2504,5.04,3.33,3.5695,5.3183,5.26
2007-03,4.2432,5.05,3.33,3.6909,5.3032,5.26
2007-04,4.2471,5.07,3.33,3.8195,5.2915,5.25
2007-05,4.2352,5.07,3.33,3.7905,5.4778,5.25
2007-06,4.2536,5.1,3.33,3.9557,5.6093,5.25
2007-07,4.504,5.17,3.33,4.0632,5.8434,5.26
2007-08,4.4158,5.47,3.33,4.0474,5.9127,5.02
2007-09,4.4637,5.72,3.33,4.0286,5.8246,4.94
2007-10,4.5086,5.75,3.33,3.9414,5.7751,4.76
2007-11,4.5105,5.76,3.33,4.0221,5.7892,4.49
2007-12,4.2597,5.93,3.33,3.8791,5.5964,4.24
2008-01,4.006,6.15,4.14,4.0218,5.5049,3.94
2008-02,3.9994,6.25,4.14,4.0279,5.3322,2.98
2008-03,3.4585,6.27,4.14,4.091,5.3078,2.61
2008-04,3.0298,6.27,4.14,3.9868,5.08,2.28
2008-05,2.9988,6.3,4.14,4.0097,5.0314,1.98
2008-06,2.9915,6.59,4.14,4.0067,5.0326,2
2008-07,3.0195,7.08,4.14,4.1908,5.0099,2.01
2008-08,3.0003,7.49,4.14,4.2989,4.997,2
2008-09,2.9904,8.17,4.14,4.2733,4.8925,1.81
2008-10,2.2522,8.26,4.14,3.8198,4.4115,0.97
2008-11,2.2448,8.22,3.06,3.1502,2.7846,0.39
2008-12,1.5017,8.24,2.79,2.4864,1.6525,0.16
2009-01,1.0044,7.41,2.79,1.8122,1.326,0.15
2009-02,0.9978,5.83,2.79,1.2571,0.8973,0.22
2009-03,0.4883,3.24,2.79,1.062,0.5224,0.18
2009-04,0.248,1.89,2.79,0.8419,0.4099,0.15
2009-05,0.2432,1.31,2.79,0.7821,0.4133,0.18
2009-06,0.2412,1.01,2.79,0.698,0.4158,0.21
2009-07,0.2417,0.53,2.79,0.3576,0.4173,0.16
2009-08,0.2425,0.41,2.79,0.3475,0.422,0.16
2009-09,0.2417,0.45,2.79,0.3632,0.4302,0.15
2009-10,0.2403,0.41,2.79,0.3587,0.4472,0.12
2009-11,0.2435,0.43,2.79,0.3624,0.4509,0.12
2009-12,0.2455,0.45,2.79,0.3546,0.4492,0.12
2010-01,0.2442,0.43,2.79,0.344,0.4545,0.11
2010-02,0.2476,0.42,2.79,0.3406,0.4672,0.13
2010-03,0.2443,0.43,2.79,0.3477,0.4713,0.16
2010-04,0.248,0.43,2.79,0.3533,0.4726,0.2
2010-05,0.2437,0.43,2.79,0.3439,0.4842,0.2
2010-06,0.4928,0.68,2.79,0.3543,0.487,0.18
2010-07,0.74,1.23,2.79,0.4811,0.49,0.18
2010-08,0.7481,1.81,2.79,0.4256,0.491,0.19
2010-09,0.9976,2.24,2.79,0.4536,0.501,0.19
2010-10,0.9969,2.7,2.79,0.7013,0.5083,0.19
2010-11,0.9997,2.89,2.79,0.5926,0.5086,0.19
2010-12,0.9924,3.13,3.25,0.4981,0.5173,0.18
2011-01,0.9937,3.25,3.25,0.659,0.5059,0.17
2011-02,0.9934,3.33,3.25,0.7071,0.5084,0.16
2011-03,0.9944,3.73,3.25,0.6587,0.5154,0.14
2011-04,0.997,4.3,3.25,0.9661,0.524,0.1
2011-05,0.9967,4.79,3.25,1.0334,0.5217,0.09
2011-06,0.9981,5.12,3.25,1.124,0.5311,0.09
2011-07,0.9986,5.24,3.25,1.0118,0.5228,0.07
2011-08,0.9977,5.26,3.25,0.9058,0.538,0.1
2011-09,0.9989,5.24,3.25,1.0055,0.5486,0.08
2011-10,0.9993,5.25,3.25,0.9596,0.5358,0.07
2011-11,0.9983,5.25,3.25,0.79,0.5347,0.08
2011-12,0.9998,5.23,3.25,0.627,0.5201,0.07
2012-01,0.9987,5.05,3.25,0.38,0.5157,0.08
2012-02,0.9978,4.98,3.25,0.3656,0.4993,0.1
2012-03,0.998,5,3.25,0.3567,0.49,0.13
2012-04,1.0079,5,3.25,0.3451,0.4861,0.14
2012-05,1,5.02,3.25,0.337,0.4848,0.16
2012-06,0.9984,5.02,3.25,0.332,0.4859,0.16
2012-07,0.9974,4.99,3.25,0.1842,0.4646,0.16
2012-08,0.999,4.97,3.25,0.1101,0.45,0.13
2012-09,0.9991,5.02,3.25,0.0993,0.4271,0.14
2012-10,1.0024,5.02,3.25,0.0907,0.4334,0.16
2012-11,0.9985,5.01,3.25,0.0785,0.4256,0.16
2012-12,0.9982,4.99,3.25,0.0734,0.4309,0.16
2013-01,1.0048,5,3.25,0.069,0.4097,0.14
2013-02,1.0072,5.01,3.25,0.0677,0.4261,0.15
2013-03,1.0065,5,3.25,0.067,0.4353,0.14
2013-04,1.0036,5,3.25,0.081,0.4396,0.15
2013-05,1.0063,5.02,3.25,0.0787,0.4336,0.11
2013-06,1.0067,5,3.25,0.0862,0.4252,0.09
2013-07,0.9998,5.03,3.25,0.0931,0.4301,0.09
2013-08,0.9978,5,3.25,0.082,0.427,0.08
2013-09,0.9948,5,3.25,0.0803,0.4299,0.08
2013-10,0.9994,4.9,3.25,0.0933,0.4313,0.09
2013-11,0.9997,4.65,3.25,0.1031,0.43,0.08
2013-12,1.0012,4.5,3.25,0.1686,0.4215,0.09
2014-01,0.9993,4.49,3.25,0.1961,0.4287,0.07
2014-02,0.9945,4.4,3.25,0.1567,0.4197,0.07
2014-03,0.998,4.11,3.25,0.1919,0.4159,0.08
2014-04,0.9978,4,3.25,0.2539,0.422,0.09
2014-05,0.9978,4,3.25,0.248,0.4233,0.09
2014-06,0.9988,4,3.25,0.0758,0.4251,0.1
2014-07,0.999,3.88,3.25,0.0433,0.4283,0.09
2014-08,0.9976,3.63,3.25,0.0179,0.4228,0.09
2014-09,0.9979,3.35,3.25,0.0066,0.4319,0.09
2014-10,1.0024,3.15,3.25,-0.0045,0.4308,0.09
2014-11,1,3.01,3.25,-0.0116,0.4325,0.09
2014-12,1.0114,3,3.25,-0.0301,0.428,0.12
2015-01,0.7502,3,3.25,-0.0506,0.4355,0.11
2015-02,0.7595,3,3.25,-0.036,0.4511,0.11
2015-03,0.7558,3,3.25,-0.0504,0.4568,0.11
2015-04,0.7473,3,3.25,-0.0745,0.4574,0.12
2015-05,0.727,3,3.25,-0.1058,0.462,0.12
2015-06,0.7464,3,3.25,-0.1185,0.4566,0.13
2015-07,0.5019,3,3.25,-0.1177,0.4549,0.13
2015-08,0.5026,3,3.25,-0.1213,0.459,0.14
2015-09,0.5002,3,3.25,-0.1357,0.4544,0.14
2015-10,0.4991,3.13,3.25,-0.1389,0.4622,0.12
2015-11,0.4967,3.25,2.9,-0.1347,0.4636,0.12
2015-12,0.5242,3.35,2.9,-0.199,0.4575,0.24
2016-01,0.5153,3.5,2.9,-0.2387,0.4659,0.34
2016-02,0.4991,3.5,2.9,-0.2404,0.4657,0.38
2016-03,0.4981,3.5,2.9,-0.2877,0.4646,0.36
2016-04,0.5005,3.5,2.9,-0.3378,0.4663,0.37
2016-05,0.4974,3.5,2.9,-0.338,0.4633,0.37
2016-06,0.5035,3.5,2.9,-0.3325,0.4598,0.38
2016-07,0.5078,3.5,2.9,-0.3288,0.4577,0.39
2016-08,0.4926,3.5,2.9,-0.3388,0.2478,0.4
2016-09,0.4969,3.5,2.9,-0.343,0.213,0.4
2016-10,0.4883,3.5,2.9,-0.3466,0.212,0.4
2016-11,0.4893,3.5,2.9,-0.3487,0.2108,0.41
2016-12,0.4936,3.48,2.9,-0.3504,0.2125,0.54
2017-01,0.4885,3.5,2.9,-0.3515,0.2135,0.65
2017-02,0.4887,3.2,2.9,-0.3528,0.2106,0.66
2017-03,0.5003,3.14,2.9,-0.3535,0.2095,0.79
2017-04,0.4953,2.87,2.9,-0.3569,0.2114,0.9
2017-05,0.4886,2.65,2.9,-0.3589,0.2126,0.91
2017-06,0.4941,2.5,2.9,-0.3587,0.2121,1.04
2017-07,0.7414,2.5,2.9,-0.3595,0.2124,1.15
2017-08,0.7473,2.5,2.9,-0.3558,0.2132,1.16
2017-09,0.9941,2.5,2.9,-0.3581,0.2123,1.15
2017-10,0.9955,2.5,2.9,-0.359,0.211,1.15
2017-11,0.9916,2.5,2.9,-0.3492,0.4493,1.16
2017-12,0.997,2.5,2.9,-0.3423,0.4619,1.3
2018-01,1.2461,2.5,2.9,-0.3624,0.4631,1.41
2018-02,1.2367,2.49,2.9,-0.3647,0.4634,1.42
2018-03,1.2457,2.5,2.9,-0.3639,0.4637,1.51
2018-04,1.2461,2.48,2.9,-0.3657,0.4617,1.69
2018-05,1.2434,2.5,2.9,-0.3625,0.4529,1.7
2018-06,1.2464,2.5,2.9,-0.3618,0.4507,1.82
2018-07,1.4948,2.49,2.9,-0.3636,0.4545,1.91
2018-08,1.4961,2.5,2.9,-0.3591,0.6911,1.91
2018-09,1.4979,2.5,2.9,-0.3627,0.7012,1.95
2018-10,1.7476,2.6,2.9,-0.366,0.7011,2.19
2018-11,1.7473,2.75,2.9,-0.3613,0.7017,2.2
2018-12,1.7516,2.75,2.9,-0.3605,0.7026,2.27
2019-01,1.7462,2.76,2.9,-0.367,0.7053,2.4
2019-02,1.7455,3,2.9,-0.367,0.7061,2.4
2019-03,1.7461,3,2.9,-0.3679,0.7053,2.41
2019-04,1.7459,3,2.9,-0.367,0.7081,2.42
2019-05,1.745,3,2.9,-0.3666,0.7094,2.39
2019-06,1.7429,2.62,2.9,-0.3616,0.7085,2.38
2019-07,1.7469,2.49,2.9,-0.3668,0.709,2.4
2019-08,1.7481,2.5,2.9,-0.3612,0.7101,2.13
2019-09,1.7454,2.05,2.9,-0.4032,0.7098,2.04
2019-10,1.7472,1.94,2.9,-0.5495978,0.7108,1.83
2019-11,1.7487,1.71,2.9,-0.53915,0.7105,1.55
2019-12,1.7479,1.71,2.9,-0.540201,0.7101,1.55
2020-01,1.7487,1.75,2.9,-0.5374213,0.7113,1.55
2020-02,1.7485,1.75,2.9,-0.5382235,0.7104,1.58
2020-03,0.7406,1.41,2.9,-0.5356286,0.3192,0.65
2020-04,0.2341,0.5,2.9,-0.5354685,0.0659,0.05
2020-05,0.2379,0.49,2.9,-0.540192,0.0674,0.05
2020-06,0.2327,0.47,2.9,-0.544465,0.0646,0.08
2020-07,0.2407,0.5,2.9,-0.5495557,0.0599,0.09
2020-08,0.2337,0.35,2.9,-0.5520876,0.0562,0.1
2020-09,0.2181,0.3,2.9,-0.5529327,0.0547,0.09
2020-10,0.2337,0.3,2.9,-0.5546409,0.0538,0.09
2020-11,0.2336,0.3,2.9,-0.5562162,0.0537,0.09
2020-12,0.1741,0.3,2.9,-0.5563491,0.0492,0.09
2021-01,0.1826,0.3,2.9,-0.5657645,0.0494,0.09
2021-02,0.2143,0.3,2.9,-0.563521,0.0486,0.08
2021-03,0.1529,0.3,2.9,-0.5637665,0.0486,0.07
2021-04,0.1669,0.3,2.9,-0.5660555,0.0486,0.07
2021-05,0.1872,0.3,2.9,-0.5647062,0.0495,0.06
2021-06,0.1873,0.32,2.9,-0.5641259,0.0498,0.08
2021-07,0.193,0.54,2.9,-0.5665223,0.0506,0.1
2021-08,0.2026,0.75,2.9,-0.5681,0.0504,0.09
2021-09,0.1824,1.5,2.9,-0.5693604,0.05,0.08
2021-10,0.2025,2.29,2.9,-0.5704129,0.0502,0.08
2021-11,0.2078,2.75,2.9,-0.5732373,0.0468,0.08
2021-12,0.1274,3.33,2.9,-0.5763721,0.1141,0.08
2022-01,0.175935,4.27,2.9,-0.5794657,0.1958,0.08
2022-02,0.1717474,5.5,2.9,-0.576333,0.4199,0.08
2022-03,0.4077565,5.5,2.9,-0.5777031,0.5623,0.2
2022-04,0.7103333,6.98,2.9,-0.5837074,0.6906,0.33
2022-05,0.9472429,8.09,2.9,-0.5847414,0.9158,0.77
2022-06,1.428814,8.77,2.9,-0.5826241,1.0767,1.21
2022-07,2.037437,9.55,2.9,-0.5710643,1.1908,1.68
2022-08,2.482955,9.75,2.9,-0.09465218,1.622,2.33
2022-09,3.101768,10.75,2.9,0.2545841,1.8569,2.56
2022-10,3.31409,11.17,2.9,0.6553786,2.1857,3.08
2022-11,3.741224,11.25,2.9,1.26662,2.8599,3.78
2022-12,4.1245,11.25,2.9,1.503965,3.1779,4.1
2023-01,4.290014,11.25,2.9,1.901312,3.4275,4.33
2023-02,4.492368,11.25,2.9,2.200642,3.9021,4.57
2023-03,4.492313,11.25,2.9,2.508364,4.0031,4.65
2023-04,4.491718,11.25,2.9,2.899081,4.1774,4.83
2023-05,4.492648,11.25,2.9,3.046309,4.3528,5.06
2023-06,4.683946,11.25,2.9,3.204591,4.5872,5.08
2023-07,4.90389,11.25,2.9,3.403263,4.9302,5.12
2023-08,4.994214,10.25,2.9,3.610367,5.1609,5.33
2023-09,4.991785,9.55,2.9,3.712522,5.1854,5.33
2023-10,5.001845,9.44,2.9,3.90106,5.1871,5.33
2023-11,5.013667,9,2.9,3.902744,5.1875,5.33
2023-12,5.015479,8.98,2.9,3.903442,5.19,5.33
2024-01,5.03,8.25,,3.90265,,5.33
