Date,ECO_fiscal_result_month,ECO_fiscal_result_12months,ECO_inflation_month,ECO_inflation_12months,ECO_interest_rate,ECO_gross_debt_gdp_pre,ECO_gross_debt_gdp_pos,ECO_gross_debt_R$_pre,ECO_gross_debt_R$_pos,ECO_net_debt_gdp_%,ECO_net_debt_R$,ECO_net_debt_gdp_%_federal_govt,ECO_net_debt_R$_federal_govt,ECO_net_debt_R$_dlspc,ECO_balance_payments_US$_M,ECO_GDP_R$_12_months,ECO_inter_reserves_US$
2013-02,-7143.8,79480.84,0.6,6.31,7.25,59.3,54.03,2899937.41,2641965.88,33.37,1631793.22,21.38,1045396.84,32.59,-1440.6,4890027.7,373742.0
2013-03,1059.38,73084.16,0.47,6.59,7.25,59.16,54.05,2914528.87,2663208.83,32.96,1623965.4,21.22,1045582.82,32.4,15.4,4926899.5,376934.0
2013-04,7064.55,68669.64,0.55,6.49,7.5,58.54,53.78,2919577.67,2682330.01,32.78,1635030.71,21.08,1051448.78,32.14,-1161.2,4987524.5,378665.0
2013-05,5235.57,72347.26,0.37,6.5,8.0,58.07,53.92,2919427.55,2710764.58,32.19,1618268.69,20.43,1026880.32,31.51,593.8,5026997.6,374417.0
2013-06,1424.33,71752.62,0.26,6.7,8.0,58.63,53.61,2970306.53,2715918.7,31.92,1617045.25,20.14,1020523.62,31.19,2126.9,5066353.9,369402.0
2013-07,3767.59,71685.52,0.03,6.27,8.5,57.59,53.70,2942631.81,2744022.88,31.59,1614285.77,19.65,1003866.7,30.8,-2072.5,5109930.4,371966.0
2013-08,-54.57,70458.36,0.24,6.09,9.0,57.97,53.44,2982703.41,2749278.71,31.39,1615203.05,19.38,996840.18,30.58,1025.9,5144960.0,367002.0
2013-09,-10760.03,58767.770000000004,0.35,5.86,9.0,57.74,52.95,2996761.89,2747899.58,31.92,1656896.58,20.42,1059684.54,31.51,1794.4,5190039.1,368654.0
2013-10,5256.93,53963.97,0.57,5.84,9.5,58.09,53.10,3040493.28,2779361.47,32.16,1683156.11,20.46,1070861.12,31.62,-402.9,5234347.2,364505.0
2013-11,28608.0,88447.25,0.54,5.77,10.0,58.88,52.73,3107954.24,2783266.92,31.22,1647842.63,19.36,1021653.19,30.58,1533.3,5278071.6,362410.0
2013-12,14744.37,75290.69,0.92,5.91,10.0,59.59,51.54,3177361.38,2747996.71,31.14,1660187.02,19.23,1025357.79,30.5,2540.2,5331619.0,358808.0
2014-01,12549.08,61751.40000000001,0.55,5.59,10.5,57.74,52.63,3104074.32,2829599.14,30.71,1650951.25,18.79,1010408.33,30.01,-3890.6,5376008.3,360936.0
2014-02,-3389.48,65505.72000000001,0.69,5.68,10.75,57.78,51.84,3139311.35,2816714.17,31.05,1686848.5,19.32,1049860.99,30.36,-2344.0,5433416.4,362691.0
2014-03,3161.53,67607.87000000001,0.92,6.15,10.75,57.77,51.79,3163410.76,2835759.16,31.17,1706644.69,19.74,1081083.2,30.78,-140.0,5475986.4,363914.0
2014-04,16854.34,77397.66,0.67,6.28,11.0,57.07,52.00,3144145.61,2865058.28,31.16,1716892.6,19.63,1081398.88,30.78,285.3,5509202.5,366717.0
2014-05,-11073.37,61088.72000000001,0.46,6.37,11.0,58.05,52.19,3221326.1,2895819.41,31.55,1750829.66,19.92,1105659.93,31.1,423.9,5549140.6,368752.0
2014-06,-2732.22,56932.17,0.4,6.52,11.0,59.3,52.75,3306661.73,2941138.57,31.92,1779742.89,20.38,1136284.02,31.48,2122.5,5575728.2,373516.0
2014-07,-1894.96,51269.62,0.01,6.5,11.0,57.91,53.17,3248607.39,2983108.33,32.08,1799679.43,20.49,1149300.81,31.6,1291.1,5610035.7,376792.0
2014-08,-11950.77,39373.42,0.25,6.51,11.0,58.06,53.81,3274770.55,3034679.53,32.59,1838332.58,21.04,1186859.5,32.14,903.2,5640032.8,379157.0
2014-09,-20994.74,29138.71,0.57,6.75,11.0,58.06,55.11,3299930.94,3132133.12,32.55,1850280.06,20.8,1182446.22,32.07,-1145.1,5683719.6,375513.0
2014-10,4903.11,28784.89,0.42,6.59,11.25,57.43,55.43,3283136.33,3168712.96,32.86,1878610.91,20.94,1197411.22,32.22,-1473.2,5716975.8,375833.0
2014-11,-6658.88,-6481.990000000002,0.51,6.56,11.25,58.83,56.01,3380089.62,3217851.37,32.92,1891087.24,20.76,1192672.63,32.18,-2707.2,5745160.1,375426.0
2014-12,754.65,-20471.71,0.78,6.41,11.75,61.62,56.28,3560826.09,3252448.55,33.15,1915773.07,20.78,1200679.58,32.59,-65.1,5778953.0,363551.0
2015-01,10075.09,-22945.700000000004,1.24,7.14,12.25,59.7,57.16,3462851.34,3315324.38,33.35,1934268.91,20.82,1207401.92,32.5,-2877.8,5800027.5,361767.0
2015-02,-6671.41,-26227.630000000005,1.22,7.7,12.25,61.48,58.28,3572848.58,3386880.84,33.16,1927287.63,20.46,1189108.19,32.3,-3097.7,5811269.7,362547.0
2015-03,1482.66,-27906.5,1.32,8.13,12.75,63.91,59.49,3738724.29,3480229.29,32.82,1919732.26,19.49,1140312.88,31.59,148.9,5849630.6,362744.0
2015-04,10637.65,-34123.19,0.71,8.17,13.25,63.68,59.11,3736260.72,3468109.37,33.61,1972169.01,20.29,1190414.25,32.35,272.6,5867030.0,364473.0
2015-05,-8868.7,-31918.520000000004,0.74,8.47,13.25,64.33,60.20,3781112.73,3538708.31,33.75,1984129.32,20.13,1183268.82,32.39,2449.9,5878043.2,366647.0
2015-06,-8566.16,-37752.46000000001,0.79,8.89,13.75,65.65,60.75,3878186.48,3588440.4,34.42,2033575.55,20.96,1238357.26,33.23,4309.9,5907278.6,368668.0
2015-07,-6039.9,-41897.4,0.62,9.56,14.25,65.7,62.17,3894114.69,3684950.96,34.47,2043298.54,20.31,1204133.52,32.91,2625.7,5927549.0,368252.0
2015-08,-6933.74,-36880.369999999995,0.22,9.53,14.25,67.52,62.97,4013923.3,3743680.99,34.22,2034274.14,19.62,1166551.72,32.46,2366.0,5945162.3,368159.0
2015-09,-6840.14,-22725.77,0.54,9.49,14.25,69.69,63.65,4148653.19,3789051.79,34.09,2029610.73,18.88,1124054.7,32.02,2624.1,5953381.4,361370.0
2015-10,-12316.38,-39945.26,0.82,9.93,14.25,67.98,63.93,4055283.92,3813936.88,35.12,2094869.64,19.84,1183371.67,33.06,1676.4,5965733.8,361230.0
2015-11,-21670.57,-54956.950000000004,1.01,10.48,14.25,69.2,64.28,4138986.04,3844680.88,36.13,2160879.33,20.52,1227352.43,33.9,898.9,5980792.6,357016.0
2015-12,-60943.99,-116655.59,0.96,10.67,14.25,71.73,65.50,4300758.62,3927523.06,37.9,2272217.17,21.9,1312961.73,35.64,6048.0,5995787.0,356464.0
2016-01,20898.52,-105832.15999999999,1.27,10.71,14.25,70.49,66.51,4231706.82,3992779.14,38.09,2286788.39,21.52,1292031.16,35.34,1116.2,6003127.1,357507.0
2016-02,-26432.76,-125593.51000000001,0.9,10.36,14.25,71.55,66.66,4312089.81,4017298.55,39.16,2360392.03,23.22,1399516.92,36.28,2777.9,6026849.1,359368.0
2016-03,-8944.4,-136020.56999999998,0.43,9.39,14.25,72.58,66.33,4383409.89,4005700.25,40.12,2423128.13,25.4,1533881.44,38.33,4123.3,6039427.2,357698.0
2016-04,8714.32,-137943.9,0.61,9.28,14.25,70.97,66.62,4303083.52,4039289.28,40.55,2458650.72,25.99,1575573.76,38.87,4542.3,6063159.6,362201.0
2016-05,-17766.35,-146841.55,0.78,9.32,14.25,72.25,67.58,4398378.21,4113898.58,40.97,2493775.18,26.1,1588570.55,39.08,6127.0,6087371.3,363447.0
2016-06,-10450.53,-148725.92,0.35,8.84,14.25,73.27,67.51,4483098.06,4130830.6,42.94,2627112.1,28.55,1746541.89,41.35,3631.4,6118507.6,364152.0
2016-07,-11852.89,-154538.91,0.52,8.74,14.25,72.91,68.71,4471533.02,4213993.3,43.58,2672668.3,29.67,1820041.3,41.93,4245.1,6133272.4,369340.0
2016-08,-22142.63,-169747.8,0.44,8.97,14.25,72.34,69.33,4457816.09,4272828.76,44.5,2742366.38,29.79,1836057.82,42.81,3830.8,6162649.5,369541.0
2016-09,-26499.09,-189406.75,0.08,8.48,14.25,74.21,69.98,4591607.96,4329703.13,45.35,2805851.53,30.67,1897749.65,43.63,3522.7,6187449.8,370417.0
2016-10,39127.34,-137963.03,0.26,7.87,14.0,73.91,69.78,4586504.42,4330508.19,45.51,2824324.97,30.92,1918936.31,43.88,2039.4,6205828.0,367528.0
2016-11,-39876.4,-156168.86,0.18,6.99,14.0,74.73,70.83,4662195.71,4418424.09,45.39,2831739.36,30.92,1928827.75,43.99,4448.4,6238394.5,365556.0
2016-12,-64248.47,-159473.34,0.3,6.29,13.75,77.42,69.84,4853850.31,4378486.39,47.77,2994966.58,33.34,2090132.66,46.14,4139.1,6269328.0,365016.0
2017-01,26292.56,-154079.3,0.38,5.35,13.0,76.61,69.81,4827797.9,4399046.84,48.36,3047147.56,33.85,2132968.21,46.46,2426.9,6301469.2,367708.0
2017-02,-28769.48,-156416.02000000002,0.33,4.76,12.25,78.03,70.39,4932743.38,4450006.77,49.18,3109156.92,34.7,2193846.89,47.26,4368.1,6321886.1,368981.0
2017-03,-11685.93,-159157.55000000002,0.25,4.57,12.25,79.51,71.24,5052375.35,4527003.45,49.39,3138396.32,35.07,2228561.77,47.53,6418.5,6354702.5,370111.0
2017-04,11451.28,-156420.59,0.14,4.08,11.25,79.69,71.38,5077501.39,4547705.05,49.39,3146590.0,35.0,2229953.97,47.48,6125.6,6371496.5,374945.0
2017-05,-32105.54,-170759.78,0.31,3.6,11.25,79.06,72.33,5064825.27,4633516.8,49.94,3199139.69,35.53,2276071.49,48.0,6712.0,6406014.1,376491.0
2017-06,-19937.32,-180246.57,-0.23,3.0,10.25,80.55,72.74,5176269.01,4674598.72,50.27,3230607.09,35.92,2308535.83,48.44,6268.5,6426381.9,377175.0
2017-07,-13977.34,-182371.02000000002,0.24,2.71,9.25,79.2,73.18,5110640.24,4722126.38,51.51,3323550.18,37.27,2404919.66,49.68,5383.8,6452842.4,381029.0
2017-08,-9916.2,-170144.59,0.19,2.46,9.25,80.95,73.62,5243851.47,4768883.31,51.98,3367257.37,37.7,2442449.73,50.1,4547.9,6478039.0,381843.0
2017-09,-22226.95,-165872.45,0.16,2.54,8.25,81.44,73.71,5291594.93,4789341.59,52.5,3411459.81,38.32,2490172.02,50.76,4301.3,6497846.7,381244.0
2017-10,4967.31,-200032.48,0.42,2.7,7.5,81.17,74.11,5297627.31,4837222.06,52.32,3415082.17,38.01,2480654.67,50.54,4128.0,6526926.5,380351.0
2017-11,-366.45,-160522.53,0.28,2.8,7.5,81.83,74.03,5363866.91,4852557.49,52.69,3453857.69,38.32,2511885.3,50.86,2559.0,6554772.4,381056.0
2017-12,-22168.17,-118442.23000000001,0.44,2.95,7.0,82.74,73.72,5449151.48,4854678.59,53.23,3505361.47,38.48,2534118.8,51.37,4085.4,6585479.0,373972.0
2018-01,36530.04,-108204.75,0.29,2.86,7.0,81.78,74.04,5417635.99,4904275.23,53.33,3532846.45,38.8,2570190.78,51.43,1695.6,6624241.7,375701.0
2018-02,-19004.78,-98440.04999999999,0.32,2.84,6.75,82.43,74.51,5484092.73,4957219.32,53.51,3560272.77,38.88,2587014.29,51.58,1999.3,6653384.9,377035.0
2018-03,-25531.2,-112285.31999999999,0.09,2.68,6.5,83.71,74.60,5593531.14,4984707.6,53.57,3579759.73,39.07,2610601.42,51.83,5355.6,6681888.7,379577.0
2018-04,5360.05,-118376.54999999999,0.22,2.76,6.5,83.86,74.95,5645608.37,5045749.25,52.98,3566365.94,38.33,2580417.0,51.22,4531.2,6731892.8,379979.0
2018-05,-11120.27,-97391.27999999998,0.4,2.86,6.5,84.96,76.13,5728935.02,5133267.76,52.51,3540645.07,37.61,2536043.83,50.67,4950.1,6743005.2,382549.0
2018-06,-14951.46,-92405.42,1.26,4.39,6.5,85.34,76.13,5790723.4,5165402.55,52.67,3573675.31,37.59,2550506.75,50.71,4607.2,6785258.1,379500.0
2018-07,-2676.94,-81105.02,0.33,4.48,6.5,84.33,75.95,5758837.45,5186540.04,53.32,3641522.19,38.28,2614412.79,51.3,2638.4,6829095.3,379444.0
2018-08,-20850.51,-92039.33,-0.09,4.19,6.5,84.46,76.02,5804033.47,5223985.95,52.32,3595765.86,37.1,2549295.08,50.33,1318.9,6872213.4,381393.0
2018-09,-24291.86,-94104.23999999999,0.48,4.53,6.5,84.44,75.99,5830451.93,5246734.28,53.2,3673267.23,38.17,2635318.93,51.32,3867.9,6904478.5,380738.0
2018-10,10197.07,-88874.47999999998,0.45,4.56,6.5,83.29,75.29,5786986.95,5231391.55,54.3,3772984.29,39.43,2739822.1,52.43,4418.8,6947915.0,380290.0
2018-11,-17072.7,-105580.72999999998,-0.21,4.05,6.5,84.07,75.69,5869781.56,5284132.65,54.12,3778639.62,39.03,2724795.94,52.2,2704.4,6981672.8,379722.0
2018-12,-32754.81,-116167.37,0.15,3.75,6.5,84.78,75.27,5937903.82,5271982.26,54.72,3832957.88,39.46,2763702.35,52.77,5285.3,7004141.0,374715.0
2019-01,35606.95,-117090.46,0.32,3.78,6.5,83.34,75.43,5859272.22,5302682.27,55.02,3867946.08,40.12,2820752.46,53.11,13.7,7030150.8,376984.0
2019-02,-20612.48,-118698.16,0.43,3.89,6.5,84.31,75.52,5957862.23,5336549.58,55.18,3899150.46,40.15,2837054.27,53.11,1703.6,7066729.3,378448.0
2019-03,-20399.61,-113566.57,0.75,4.58,6.5,84.86,76.71,6007918.66,5430959.0,54.83,3882047.42,39.95,2828396.41,53.04,2880.8,7079611.5,384165.0
2019-04,6132.96,-112793.66000000002,0.57,4.94,6.5,84.44,77.12,5999602.93,5479642.9,54.87,3898797.52,39.91,2835881.64,53.05,3981.1,7105503.6,383799.0
2019-05,-13189.83,-114863.22,0.13,4.66,6.5,83.59,76.55,5984046.36,5480569.48,55.05,3941330.33,40.13,2873094.71,53.24,3818.9,7159217.9,386162.0
2019-06,-12212.15,-112123.91,0.01,3.37,6.5,84.75,76.67,6078713.86,5498994.83,55.69,3994529.3,40.75,2922568.84,53.82,3603.9,7172273.7,388092.0
2019-07,-1401.6,-110848.56999999999,0.19,3.22,6.5,83.82,76.83,6045103.92,5540964.87,55.72,4018959.15,41.31,2979640.5,54.26,326.5,7212247.9,385730.0
2019-08,-16459.37,-106457.43000000001,0.11,3.43,6.0,85.22,77.56,6172226.23,5617716.11,56.54,4095014.42,40.09,2903771.35,53.32,1332.6,7242727.0,386478.0
2019-09,-20631.08,-102796.65000000001,-0.04,2.89,5.5,86.04,76.60,6268086.56,5580374.85,56.54,4119034.74,40.42,2944328.62,53.64,2192.5,7285028.2,376434.0
2019-10,8544.81,-104448.91000000002,0.1,2.54,5.0,84.97,75.79,6221833.57,5549355.51,56.42,4131475.84,41.02,3003316.76,54.11,598.5,7322452.7,369836.0
2019-11,-18177.16,-105553.37000000002,0.51,3.27,5.0,86.56,76.19,6364641.87,5602290.22,56.99,4190113.83,40.59,2984296.59,53.78,1816.4,7352766.6,366376.0
2019-12,-16100.33,-88898.89,1.15,4.31,4.5,87.12,74.44,6437298.67,5500104.16,57.27,4231844.48,41.66,3078019.06,54.7,4278.2,7389131.0,356884.0
2020-01,45469.23,-79036.61,0.21,4.19,4.5,86.55,74.76,6425866.29,5550452.1,56.87,4222098.35,40.14,2980128.07,53.19,-3622.6,7424453.3,359394.0
2020-02,-26892.93,-85317.06,0.25,4.01,4.25,87.04,75.15,6498845.38,5611015.18,57.32,4279750.33,39.47,2946934.21,52.55,716.8,7466127.2,362460.0
2020-03,-21380.17,-86297.62,0.07,3.3,3.75,85.6,76.78,6420093.07,5758363.33,58.12,4358648.27,37.11,2783301.61,50.63,2090.5,7499672.0,343165.0
2020-04,-92164.88,-184595.46,-0.31,2.4,3.75,86.53,78.05,6449801.19,5817892.36,60.22,4488713.15,37.77,2815307.93,51.59,4877.1,7453706.1,339317.0
2020-05,-127092.22,-298497.85,-0.38,1.88,3.0,88.22,79.95,6541807.02,5929085.15,62.54,4638022.09,39.73,2946187.03,53.72,3153.5,7415583.9,345706.0
2020-06,-195180.0,-481465.69999999995,0.26,2.13,2.25,90.22,82.87,6699653.26,6153523.83,65.37,4853880.43,42.28,3139436.8,56.24,5877.6,7425634.4,348781.0
2020-07,-88141.23,-568205.33,0.36,2.31,2.25,88.6,83.50,6589611.36,6210041.66,66.52,4947120.54,44.4,3302129.21,58.12,6536.9,7437369.8,354664.0
2020-08,-96471.06,-648217.02,0.24,2.44,2.0,89.45,85.82,6659994.92,6389754.5,63.54,4730781.08,44.87,3340502.98,58.66,4945.9,7445197.0,356092.0
2020-09,-75147.67,-702733.6100000001,0.64,3.14,2.0,90.77,87.42,6784365.82,6533712.36,64.73,4837826.42,45.53,3403285.34,59.3,4364.6,7474347.6,356606.0
2020-10,-3209.93,-714488.35,0.86,3.92,2.0,92.56,87.68,6940042.55,6574653.33,65.1,4881049.95,45.39,3403574.52,59.16,3683.5,7498070.5,354546.0
2020-11,-20393.51,-716704.7,0.89,4.31,2.0,93.85,86.98,7076136.3,6558571.31,64.94,4896226.11,47.14,3554668.26,60.59,1685.0,7540132.7,356004.0
2020-12,-44661.49,-745265.86,1.35,4.52,2.0,96.01,86.94,7305733.53,6615755.2,65.35,4973115.05,47.98,3651459.54,61.37,-1939.4,7609597.0,355620.0
2021-01,43156.41,-747578.6799999999,0.25,4.56,2.0,95.49,86.92,7328486.7,6670267.06,64.66,4962494.67,46.72,3585625.91,59.71,-2618.8,7674245.6,355416.0
2021-02,-22508.14,-743193.89,0.86,5.2,2.0,96.73,86.87,7509475.13,6744244.12,64.46,5004301.39,46.74,3628716.76,59.51,-356.7,7763192.8,356070.0
2021-03,3938.27,-717875.45,0.93,6.1,2.75,95.87,85.10,7572176.58,6721063.14,63.88,5045108.94,45.9,3625134.92,58.53,-514.3,7898172.6,347413.0
2021-04,16265.05,-609445.52,0.31,6.76,2.75,92.07,82.60,7428769.06,6665275.15,62.2,5018717.97,45.56,3676545.11,57.7,8759.0,8069023.6,350996.0
2021-05,-20923.69,-503276.99,0.83,8.06,3.5,91.3,81.43,7507613.68,6696353.78,61.46,5053686.92,45.74,3761403.62,57.53,7376.6,8222947.2,353448.0
2021-06,-75082.66,-383179.65,0.53,8.35,4.25,91.87,80.60,7670021.22,6729562.39,61.48,5133428.61,47.01,3925077.67,58.43,7451.7,8349087.7,352486.0
2021-07,-16842.32,-311880.74,0.96,8.99,4.25,91.06,80.25,7714487.44,6797927.95,61.28,5191114.72,46.53,3941700.95,57.76,6261.9,8471423.5,355671.0
2021-08,-11092.32,-226501.99999999997,0.87,9.68,5.25,90.76,79.64,7806344.45,6849857.48,60.6,5212554.57,46.45,3995521.56,57.18,5670.0,8601505.7,370395.0
2021-09,708.29,-150646.03999999998,1.16,10.25,6.25,89.32,79.62,7784670.21,6939728.6,60.38,5262849.94,45.54,3969446.78,56.17,2551.1,8715615.4,368886.0
2021-10,29042.4,-118393.70999999999,1.25,10.67,7.75,87.86,79.51,7745153.7,7009119.32,60.0,5289723.28,44.68,3938553.03,55.2,1367.3,8815668.3,367927.0
2021-11,3528.7,-94471.49999999999,0.95,10.74,7.75,88.29,78.21,7878607.15,6978912.93,59.58,5316499.79,44.67,3986579.8,54.97,-2333.3,8923865.3,367772.0
2021-12,13937.83,-35872.17999999999,0.73,10.06,9.25,88.93,77.31,8014882.92,6966925.2,59.47,5359710.07,44.71,4029713.09,55.11,2748.9,9012142.0,362204.0
2022-01,77429.54,-1599.050000000003,0.54,10.38,9.25,88.26,76.98,7994833.04,6973243.1,58.41,5290734.24,44.78,4056584.74,54.81,-1354.7,9058295.1,358398.0
2022-02,-19181.07,1728.0199999999968,1.01,10.54,10.75,89.1,76.91,8111833.95,7001664.3,57.62,5245615.23,45.78,4167981.04,55.44,3555.4,9104104.7,357740.0
2022-03,-7811.43,-10021.680000000004,1.62,11.3,11.75,86.77,76.40,7961559.23,7009269.27,57.46,5272178.98,47.32,4341514.55,56.66,6094.1,9175000.0,353169.0
2022-04,29638.37,3351.639999999996,1.06,12.13,11.75,86.45,76.33,8013025.78,7075133.23,57.17,5298813.48,47.12,4367678.16,56.4,6824.4,9269024.6,345097.0
2022-05,-40017.73,-15742.400000000009,0.47,11.73,12.75,86.65,75.68,8127141.78,7098469.68,57.21,5365999.75,47.84,4486942.72,56.92,3367.7,9379391.5,346415.0
2022-06,13710.33,73050.59,0.67,11.89,13.25,87.55,75.61,8307536.04,7174528.52,57.26,5433693.28,46.77,4438375.34,56.03,7336.6,9488842.7,341958.0
2022-07,19960.52,109853.43,-0.68,10.07,13.25,86.0,75.24,8249437.36,7217112.27,56.78,5445972.49,46.41,4451428.12,55.59,4130.2,9592114.3,346403.0
2022-08,-49773.21,71172.54,-0.36,8.73,13.75,84.73,74.56,8217814.27,7231619.18,56.83,5511893.48,47.11,4568659.5,56.05,2551.8,9698450.4,339664.0
2022-09,11113.02,81577.27,-0.29,7.17,13.75,83.18,74.15,8146392.69,7262409.9,56.68,5551325.2,47.01,4604298.27,56.03,2058.9,9794173.6,327580.0
2022-10,30244.34,82779.20999999999,0.59,6.47,13.75,82.81,73.71,8198910.19,7297886.22,56.12,5556504.27,47.01,4654732.93,55.98,2009.4,9901350.1,325546.0
2022-11,-16524.39,62726.119999999995,0.41,5.9,13.75,83.54,72.95,8348203.49,7290852.55,56.33,5629273.99,46.8,4677264.52,55.82,4668.7,9993633.8,331505.0
2022-12,6158.37,54946.659999999996,0.62,5.79,13.75,83.94,71.68,8460762.62,7224882.23,56.47,5691840.22,47.01,4738379.67,56.13,2910.9,10079676.7,324703.0
2023-01,79404.82,56921.94000000001,0.53,5.77,13.75,81.32,71.37,8268506.24,7257238.78,55.44,5637180.19,46.34,4711298.36,55.21,883.7,10167780.0,331122.0
2023-02,-39237.77,36865.24000000001,0.84,5.6,13.75,81.86,71.75,8387064.13,7351858.08,55.82,5719397.77,46.91,4806136.53,55.7,2247.3,10246006.6,328098.0
2023-03,-9711.73,34964.94000000002,0.71,4.65,13.75,81.65,71.53,8444768.53,7398049.66,56.02,5794341.14,47.16,4877969.97,55.97,9279.1,10342854.3,341158.0
2023-04,16885.5,22212.070000000014,0.61,4.18,13.75,82.61,71.60,8603284.57,7456708.22,55.86,5817539.24,47.19,4915045.88,55.94,7375.7,10414472.5,345725.0
2023-05,-43187.91,19041.890000000014,0.23,3.94,13.75,82.08,72.20,8598458.86,7563933.3,56.54,5922818.04,47.79,5006344.84,56.66,9346.3,10476036.0,343489.0
2023-06,-46479.57,-41148.00999999999,-0.08,3.16,13.75,83.49,72.14,8788773.23,7594036.7,56.93,5992871.68,49.11,5169640.12,57.92,8213.7,10526477.7,343620.0
2023-07,-32477.84,-93586.36999999998,0.12,3.99,13.75,82.56,72.72,8726491.34,7685542.67,57.4,6067062.7,49.73,5256528.02,58.53,6521.4,10569284.5,345476.0
2023-08,-26181.51,-69994.66999999998,0.23,4.61,13.25,83.47,73.18,8863572.22,7771630.84,58.04,6163293.13,50.05,5315415.06,58.91,7703.5,10619181.0,344177.0
2023-09,-16505.56,-97613.25,0.26,5.19,12.75,81.52,73.37,8695180.2,7826080.16,58.23,6211220.8,50.4,5375619.97,59.16,7489.4,10666257.2,340324.0
2023-10,19455.64,-108401.95,0.24,4.82,12.75,81.99,73.78,8794598.43,7913479.78,58.3,6253007.52,50.36,5402090.79,59.21,7594.0,10726297.6,340247.0
2023-11,-38922.66,-130800.22,0.28,4.68,12.25,83.08,73.86,8967976.94,7972577.48,58.67,6333747.91,50.71,5473823.08,59.51,6686.2,10794706.1,348406.0
2023-12,-127574.19,-264532.78,0.56,4.62,11.75,84.68,74.42,9192465.66,8079270.02,60.07,6521378.43,52.11,5657300.49,60.91,7242.0,10856112.3,355034.0
2024-01,81283.5,-262654.1,0.42,4.51,11.75,83.84,75.12,9164293.88,8210714.54,59.74,6529468.45,51.41,5619336.22,60.06,4333.4,10930218.3,355066.0
2024-02,-57820.61,-281236.94,0.83,4.5,11.25,84.81,75.55,9319168.33,8301795.56,60.49,6647052.04,52.32,5749482.26,60.91,3439.8,10988915.8,352705.0
2024-03,,,0.16,3.93,10.75,,,,,,,,,,,,355008.0
2024-04,,,,,10.75,,,,,,,,,,,,
