date,eco_total_revenue
2001-01,22633.832093669
2001-02,18150.7730482988
2001-03,20083.7421544895
2001-04,21889.77465842
2001-05,21186.0382037126
2001-06,21530.5276437697
2001-07,22237.1498060413
2001-08,22229.4962828886
2001-09,20706.0191723962
2001-10,23620.4400762994
2001-11,21883.0461473678
2001-12,27118.3809642803
2002-01,28235.1810254813
2002-02,22927.5599113201
2002-03,22682.4541177007
2002-04,25540.2488526901
2002-05,23954.9820075294
2002-06,22975.0493503109
2002-07,27725.3691801495
2002-08,24604.8688152498
2002-09,28889.4768458099
2002-10,29894.3350341705
2002-11,27417.5552747705
2002-12,32282.1080295721
2003-01,32253.89577657
2003-02,26851.62239728
2003-03,25716.68198208
2003-04,31402.24281793
2003-05,28247.82702211
2003-06,25836.50306648
2003-07,30109.88143332
2003-08,26579.28542567
2003-09,27694.86407906
2003-10,32832.0595903
2003-11,30496.17115712
2003-12,37985.78162439
2004-01,34820.5121587093
2004-02,30150.8061479524
2004-03,31600.5830477317
2004-04,34470.0080350527
2004-05,31834.9859958307
2004-06,34090.3370724156
2004-07,35856.1576301259
2004-08,33636.2997745773
2004-09,34911.9492683062
2004-10,37317.5205060978
2004-11,33647.3373059226
2004-12,46442.5378687304
2005-01,40200.3663109777
2005-02,33447.6824894726
2005-03,36006.0837344235
2005-04,40475.0062644416
2005-05,35498.4104843176
2005-06,40234.7333461661
2005-07,39707.1609747494
2005-08,38449.0566109107
2005-09,37169.4383312903
2005-10,41579.9966610789
2005-11,39335.0924103424
2005-12,52546.35301511
2006-01,44498.84610313
2006-02,38318.24350973
2006-03,40065.29607921
2006-04,45679.95951382
2006-05,39896.36505253
2006-06,45371.829767413
2006-07,44229.39837271
2006-08,42110.6373004
2006-09,45846.96778138
2006-10,47921.65139254
2006-11,43334.91403931
2006-12,58080.33023295
2007-01,50894.0411498067
2007-02,42832.5121379886
2007-03,46242.7939015004
2007-04,52075.9118467261
2007-05,46396.2646745633
2007-06,50220.4500397855
2007-07,51421.3389505243
2007-08,49787.2504978362
2007-09,50181.01981461
2007-10,56470.09464573
2007-11,54152.21827785
2007-12,67292.48494167
2008-01,63621.62770506
2008-02,49431.32125193
2008-03,52074.49571504
2008-04,60806.15304529
2008-05,51556.39243129
2008-06,56883.34845457
2008-07,63253.15349717
2008-08,55104.56176069
2008-09,56835.93837124
2008-10,66942.55445555
2008-11,57045.85121489
2008-12,68190.67476503
2009-01,62842.00343337
2009-02,46260.15758337
2009-03,54763.62536072
2009-04,59020.85999198
2009-05,51193.19945872
2009-06,55391.28806993
2009-07,60076.98981793
2009-08,53530.50156808
2009-09,52905.63311891
2009-10,70239.40476835
2009-11,74644.72900134
2009-12,75933.68268072
2010-01,74495.82999087
2010-02,55082.06465278
2010-03,60875.89007626
2010-04,72460.79976625
2010-05,62635.27195616
2010-06,62991.84849004
2010-07,69612.61085405
2010-08,64362.01644953
2010-09,65087.9456641
2010-10,76073.7627444
2010-11,69599.81095548
2010-12,93241.10648661
2011-01,91071.0944076124
2011-02,64139.23216105
2011-03,70983.96381262
2011-04,85155.0771582176
2011-05,71533.93753779
2011-06,82726.2338696
2011-07,90247.25209809
2011-08,74607.39439739
2011-09,75100.42469601
2011-10,88736.64556608
2011-11,78965.70394224
2011-12,96625.10495065
2012-01,102579.2393422
2012-02,71902.46525103
2012-03,82366.94676016
2012-04,92628.00706778
2012-05,77971.00554874
2012-06,81107.48855424
2012-07,87946.65350005
2012-08,77074.25435076
2012-09,78214.92578177
2012-10,90515.96672037
2012-11,83706.98485162
2012-12,103245.676823
2013-01,116066.25817002
2013-02,76051.01315806
2013-03,80112.59726527
2013-04,98713.75706062
2013-05,87860.43243502
2013-06,85681.31573451
2013-07,94294.47807905
2013-08,83956.97079878
2013-09,84212.29875031
2013-10,100998.1284424
2013-11,112518.29968089
2013-12,118364.66509856
2014-01,123666.85567616
2014-02,83142.96903861
2014-03,86624.63922162
2014-04,105885.3288783
2014-05,87896.54330606
2014-06,91387.34052792
2014-07,98816.43531189
2014-08,94377.04136395
2014-09,90720.83494511
2014-10,106216.47136117
2014-11,104472.39831545
2014-12,114743.50001414
2015-01,125281.86692695
2015-02,89981.62612327
2015-03,94112.14887011
2015-04,109241.17746162
2015-05,91500.22591539
2015-06,97090.69659623
2015-07,104867.98902468
2015-08,93738.26906
2015-09,95239.28726644
2015-10,103530.06181315
2015-11,95461.15705078
2015-12,121501.99106454
2016-01,129384.85055921
2016-02,87850.75266984
2016-03,95778.54244754
2016-04,110895.22112893
2016-05,95218.70538614
2016-06,98128.87616635
2016-07,107415.69155549
2016-08,91808.10350578
2016-09,94769.98508848
2016-10,148800.81821984
2016-11,102245.41615017
2016-12,127607.21676272
2017-01,137391.71765948
2017-02,92358.29655927
2017-03,98994.2061615
2017-04,118046.5401018
2017-05,97693.82620223
2017-06,104099.84607578
2017-07,109948.11459028
2017-08,104206.24871664
2017-09,105594.8687955
2017-10,121143.77403629
2017-11,115088.68489929
2017-12,137841.54855156
2018-01,155619.49488018
2018-02,105122.38175504
2018-03,105659.1714639
2018-04,130806.47906467
2018-05,106192.36099915
2018-06,110855.03705701
2018-07,129614.93028075
2018-08,109751.10579349
2018-09,110663.57012048
2018-10,131880.40962391
2018-11,119420.35600203
2018-12,141528.56832054
2019-01,160425.52072346
2019-02,115061.58023802
2019-03,109854.06542918
2019-04,139029.64592311
2019-05,113278.00957
2019-06,119946.39776396
2019-07,137734.54591298
2019-08,119951.34869494
2019-09,113933.47204312
2019-10,135202.39368576
2019-11,125160.9921402
2019-12,147500.72141877
2020-01,174990.5653658
2020-02,116430.35973969
2020-03,109717.50895984
2020-04,101154.20777347
2020-05,77415.35156216
2020-06,86258.19489703
2020-07,115990.22395651
2020-08,124504.5876041
2020-09,119825.15483328
2020-10,153938.07855823
2020-11,140101.21482783
2020-12,159064.57870769
2021-01,180221.24307491
2021-02,127747.15793183
2021-03,137931.55534617
2021-04,156821.81033488
2021-05,142105.76771683
2021-06,137168.90566363
2021-07,171269.63876321
2021-08,146462.67281874
2021-09,149102.00482259
2021-10,178742.38978482
2021-11,157340.16903529
2021-12,193902.20950929
2022-01,235321.29266927
2022-02,148664.20839429
2022-03,164146.6568866
2022-04,195085.05998757
2022-05,165333.49166158
2022-06,181040.22021775
2022-07,202588.20717292
2022-08,172314.20334371
2022-09,166286.70275738
2022-10,205475.23994589
2022-11,172037.54818756
2022-12,210191.00738965
2023-01,251744.50281159
2023-02,158994.53346937
2023-03,171056.36211739
2023-04,203888.54048321
2023-05,176812.09946562
2023-06,180475.2429718
2023-07,201828.7797382
2023-08,172784.95582664
2023-09,174315.6436312
2023-10,215601.82296819
2023-11,179392.3770088
